;Number of Data;Title;Authors;Source;Year;T (K);p (kPa);C2H6;C3H8;C4H10;CO2;H2O in Hydrate;Nonpolar Liquid;N2;H2O in Aqueous Liquid;Vapor;H2O in Hydrate sII;H2O in Hydrate sI;Ice;CH4;H2S
39;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.1;910.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
40;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.1;1440.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
41;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.2;1550.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
42;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.3;2560.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
43;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;278.6;2790.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
44;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;279.9;1470.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
45;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;279.9;2300.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
46;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;280.2;5180.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
47;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;280.6;6550.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
48;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.3;2230.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
49;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.3;2900.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
50;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.4;5580.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
51;Dataset 1025;Multiple-Phase Equilibria in Hydrates from  Methane, Ethane, Propane and Water  Mixtures;Holder, G. D.[Gerald D.] and Hand, J. H.;AIChE J. 28(3), 440 ( - 447);1982;284.5;7280.0;1;1;0;0;1;1;0;1;0;0;0;0;0;0
52;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;277.87;655.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
53;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.93;531.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
54;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.48;455.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
55;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;275.87;496.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
56;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.37;565.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
57;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.65;607.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
58;Dataset 172;MULTI-PHASE EQUILIBRIA IN METHANE-ETHANE-PROPANE-WATER HYDRATE FORMING SYSTEMS;Holder, G. D.[Gerald D.];Doctor of Philosophy Dissertation, University of Michigan;1976;276.98;648.0;1;1;0;0;1;0;0;1;1;0;0;0;0;0
